CitationNumber,Long-acting,Drug,Analyte,Route,Matrix,Dose,LambdaZHl,CAS,PubChemCID,SMILES,LambdaZHl_log
9015577,,Fluazuron,Fluazuron,Subcutaneous,Kidney,1.5,7936.38,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,8.97921253100887
9015593,,Imidocarb dipropionate,Imidocarb dipropionate,Subcutaneous,Fat,3.0,2046.8,55750-06-6,9983292,CCC(=O)O.CCC(=O)O.C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,7.624032877419504
9015168,,Fluazuron,Fluazuron,Subcutaneous,Plasma,1.0,1872.0,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,7.534762657571726
9015168,,Fluazuron,Fluazuron,Cutaneous (topical),Plasma,1.0,1764.0,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,7.47533923713363
9015577,,Fluazuron,Fluazuron,Cutaneous (topical),Fat,2.0,1408.45,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,7.250245088638788
9015593,,Imidocarb dipropionate,Imidocarb dipropionate,Subcutaneous,Muscle,3.0,1391.3,55750-06-6,9983292,CCC(=O)O.CCC(=O)O.C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,7.237993841566583
9015795,,Perflluorooctane sulfonic acid,Perflluorooctane sulfonic acid,Oral-medicated feed,Milk,,1344.0,1763-23-1,74483,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,7.203405521827142
9015588,,Imidocarb dipropionate,Imidocarb dipropionate,Intramuscular,Plasma,6.0,1320.0,55750-06-6,9983292,CCC(=O)O.CCC(=O)O.C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,7.185387016337993
9015370,,Imidocarb,Imidocarb,Subcutaneous,Muscle,3.0,1318.2,27885-92-3,21389,C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,7.18402244937723
9015577,,Fluazuron,Fluazuron,Subcutaneous,Fat,1.5,1315.22,86811-58-7,65651,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F,7.181759231759274
