Model,Feature_Type,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,r2_train,rmse_train
KNN,X_rdkit,[0.2016959965720011],[0.4157896100535777],[320.39054969364054],[224.26595069413307],[0.32543510662650943],[359.3820012408212]
KNN,X_ECFP6,[0.2881083006758763],[0.3018928641654957],[310.88169075558915],[227.9766126213747],[0.3100480165218241],[363.45771243266887]
KNN,X_FCFP6,[0.3730591398316661],[0.2550422193116447],[296.489076500604],[226.50086376360878],[0.0694519926380015],[422.0985369594264]
KNN,X_MACCS,[0.33784509365894144],[0.30504229524492066],[301.2708326491875],[231.7225316384995],[0.2768766247751532],[372.0922763806711]
KNN,X_All_descrs,[0.3730591398316661],[0.2550422193116447],[296.489076500604],[226.50086376360878],[0.0694519926380015],[422.0985369594264]
RF,X_rdkit,[0.43136583560166103],[0.22453165644191828],[291.44832520895864],[240.577195924734],[0.2890702819547305],[368.9417381947741]
RF,X_ECFP6,[0.35533927633634266],[0.14984936109078156],[311.7937132329904],[241.20069449065468],[0.2623691105370517],[375.8062536044247]
RF,X_FCFP6,[0.43214111503868835],[0.1634536150148497],[289.777916061989],[226.19332952890224],[0.39391992156501443],[340.65083647822894]
RF,X_MACCS,[0.4015025469946405],[0.23108436907155983],[293.3261421089693],[235.45164848977814],[0.33028731289178603],[358.0871349024342]
RF,X_All_descrs,[0.4362192496973667],[0.16424766544145644],[289.1435271247776],[226.17526798180464],[0.3950271566368132],[340.33953027450144]
SVR,X_rdkit,[0.35486959002108304],[0.2059300144093205],[302.33949797503317],[226.3077192029319],[0.2897712211495844],[368.75981479735816]
SVR,X_ECFP6,[0.26131323291893394],[0.11436814034853195],[316.94100279485576],[210.17627836966975],[0.25546842642152123],[377.56003264941216]
SVR,X_FCFP6,[0.3909241568304197],[0.24440563225676462],[293.5899046308845],[226.66383956226443],[0.2956695738096138],[367.22537246325294]
SVR,X_MACCS,[0.41045334283373147],[0.2406420169328216],[291.33752892032516],[231.02500624331097],[0.28837499036420833],[369.12210721877244]
SVR,X_All_descrs,[0.3909241568304197],[0.24440563225676462],[293.5899046308845],[226.66383956226443],[0.2956695738096138],[367.22537246325294]
