Model,Feature_Type,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14
"('KNN', 'X_rdkit')",rdkit_MinAbsEStateIndex,rdkit_BertzCT,rdkit_Chi2n,rdkit_Chi2v,rdkit_Chi3n,rdkit_Chi4n,rdkit_PEOE_VSA6,rdkit_SMR_VSA5,rdkit_SlogP_VSA4,rdkit_SlogP_VSA5,rdkit_EState_VSA10,rdkit_VSA_EState1,rdkit_NumAliphaticRings,rdkit_fr_allylic_oxid,rdkit_fr_ester
"('KNN', 'X_ECFP6')",ECFP6_Bit_57,ECFP6_Bit_189,ECFP6_Bit_526,ECFP6_Bit_562,ECFP6_Bit_598,ECFP6_Bit_609,ECFP6_Bit_647,ECFP6_Bit_674,ECFP6_Bit_681,ECFP6_Bit_688,ECFP6_Bit_731,ECFP6_Bit_827,ECFP6_Bit_930,ECFP6_Bit_931,ECFP6_Bit_941
"('KNN', 'X_FCFP6')",FCFP6_Bit_15,FCFP6_Bit_22,FCFP6_Bit_135,FCFP6_Bit_192,FCFP6_Bit_269,FCFP6_Bit_299,FCFP6_Bit_301,FCFP6_Bit_340,FCFP6_Bit_392,FCFP6_Bit_412,FCFP6_Bit_448,FCFP6_Bit_832,FCFP6_Bit_983,FCFP6_Bit_1005,FCFP6_Bit_1013
"('KNN', 'X_MACCS')",Route_Cutaneous (topical),Matrix_Fat,MACCS_Bit_26,MACCS_Bit_50,MACCS_Bit_57,MACCS_Bit_66,MACCS_Bit_72,MACCS_Bit_76,MACCS_Bit_99,MACCS_Bit_141,MACCS_Bit_142,MACCS_Bit_156,MACCS_Bit_158,MACCS_Bit_161,MACCS_Bit_162
"('KNN', 'X_All_descrs')",ECFP6_Bit_57,ECFP6_Bit_189,ECFP6_Bit_526,ECFP6_Bit_609,ECFP6_Bit_688,ECFP6_Bit_731,ECFP6_Bit_827,FCFP6_Bit_22,FCFP6_Bit_192,FCFP6_Bit_269,FCFP6_Bit_392,FCFP6_Bit_412,FCFP6_Bit_983,FCFP6_Bit_1005,FCFP6_Bit_1013
"('RF', 'X_rdkit')",rdkit_MinAbsEStateIndex,rdkit_BertzCT,rdkit_Chi2n,rdkit_Chi2v,rdkit_Chi3n,rdkit_Chi4n,rdkit_PEOE_VSA6,rdkit_SMR_VSA5,rdkit_SlogP_VSA4,rdkit_SlogP_VSA5,rdkit_EState_VSA10,rdkit_VSA_EState1,rdkit_NumAliphaticRings,rdkit_fr_allylic_oxid,rdkit_fr_ester
"('RF', 'X_ECFP6')",ECFP6_Bit_57,ECFP6_Bit_189,ECFP6_Bit_526,ECFP6_Bit_562,ECFP6_Bit_598,ECFP6_Bit_609,ECFP6_Bit_647,ECFP6_Bit_674,ECFP6_Bit_681,ECFP6_Bit_688,ECFP6_Bit_731,ECFP6_Bit_827,ECFP6_Bit_930,ECFP6_Bit_931,ECFP6_Bit_941
"('RF', 'X_FCFP6')",FCFP6_Bit_15,FCFP6_Bit_22,FCFP6_Bit_135,FCFP6_Bit_192,FCFP6_Bit_269,FCFP6_Bit_299,FCFP6_Bit_301,FCFP6_Bit_340,FCFP6_Bit_392,FCFP6_Bit_412,FCFP6_Bit_448,FCFP6_Bit_832,FCFP6_Bit_983,FCFP6_Bit_1005,FCFP6_Bit_1013
"('RF', 'X_MACCS')",Route_Cutaneous (topical),Matrix_Fat,MACCS_Bit_26,MACCS_Bit_50,MACCS_Bit_57,MACCS_Bit_66,MACCS_Bit_72,MACCS_Bit_76,MACCS_Bit_99,MACCS_Bit_141,MACCS_Bit_142,MACCS_Bit_156,MACCS_Bit_158,MACCS_Bit_161,MACCS_Bit_162
"('RF', 'X_All_descrs')",ECFP6_Bit_57,ECFP6_Bit_189,ECFP6_Bit_526,ECFP6_Bit_609,ECFP6_Bit_688,ECFP6_Bit_731,ECFP6_Bit_827,FCFP6_Bit_22,FCFP6_Bit_192,FCFP6_Bit_269,FCFP6_Bit_392,FCFP6_Bit_412,FCFP6_Bit_983,FCFP6_Bit_1005,FCFP6_Bit_1013
